 o, o,1
 a, o,0.811
 c, c,1
 e, e,0.914
 s, s,1
 m, m,1
 b, b,1
 r, r,0.54
 a, a,0.977
 c, c,0.948
 e, e,0.942
 s, s,1
 m, m,1
 b, b,0.999
 r, r,1
 a, a,0.991
 c, c,1
 e, p,0.999
 s, s,1
 m, m,1
 b, b,1
 r, r,0.999
 a, a,1
 c, c,1
 e, p,0.603
 s, g,1
 m, m,1
 b, d,1
 r, r,0.85
 a, a,1
 c, c,0.994
 e, e,0.849
 s, s,1
 m, n,0.954
 b, h,0.745
 r, f,0.942
 a, a,1
 c, c,1
 e, z,0.584
 s, o,0.972
 m, m,1
 b, h,0.892
 r, c,0.944
 a, a,0.999
 c, c,0.996
 e, e,0.564
 s, g,0.604
 m, a,0.52
 b, b,1
 r, z,0.795
 a, a,0.504
 c, c,1
 e, e,0.999
 s, a,0.461
 m, m,1
 b, b,1
 r, z,0.958
 a, a,1
 c, c,1
 e, c,0.793
 s, d,0.524
 m, m,1
 b, b,1
 r, r,0.916
 a, a,0.951
 c, c,0.7
 e, e,0.697
 s, z,0.719
 m, m,1
 b, b,1
 r, f,0.999
 a, u,0.922
 c, b,0.999
 e, p,0.998
 s, s,0.963
 m, m,1
 b, b,0.786
 r, m,0.998
 a, m,0.994
 c, a,0.831
 e, e,0.535
 s, s,0.75
 m, a,0.982
 b, s,0.952
 r, e,0.999
 a, n,0.565
 c, c,1
 e, e,0.511
 s, z,0.843
 m, m,1
 b, d,0.978
 r, r,0.816
 a, a,0.998
 c, c,0.994
 e, e,0.979
 s, a,0.887
 m, m,1
 b, s,0.73
 r, c,0.984
 a, a,0.981
 c, c,0.881
 e, e,0.998
 s, s,0.735
 m, m,1
 b, b,1
 r, r,0.991
 a, a,1
 c, c,1
 e, e,0.996
 s, s,0.998
 m, m,1
 b, b,0.999
 r, m,0.793
 a, m,0.99
 c, e,0.611
 e, m,1
 s, s,0.739
 m, m,0.999
 b, b,1
 r, r,0.97
 a, m,1
 c, c,1
 e, e,1
 s, g,0.983
 m, m,1
 b, b,1
 r, k,0.801
 a, k,0.767
 c, g,0.724
 e, c,0.996
 s, s,1
 m, m,1
 b, b,1
 r, r,0.961
 a, a,1
 c, c,0.868
 e, t,0.784
 s, s,1
 m, m,1
 b, b,1
 r, c,0.934
 a, a,1
 c, c,0.814
 e, e,0.94
 s, s,1
 m, m,0.999
 b, u,0.999
 r, r,0.957
 a, a,0.951
 c, c,0.999
 e, e,0.777
 s, s,0.98
 m, m,1
 b, v,0.531
 r, n,0.688
 a, m,0.982
 c, a,0.984
 e, a,0.723
 s, s,1
 m, m,1
 b, b,0.644
 r, m,0.914
 a, a,1
 c, c,1
 e, e,1
 s, a,0.948
 m, m,1
 b, b,1
 r, r,1
 a, a,1
 c, c,1
 e, a,0.701
 s, s,1
 m, m,1
 b, b,1
 r, r,1
 a, g,0.63
 c, c,0.966
 e, c,0.964
 s, s,1
 m, m,1
 b, b,0.592
 r, r,0.994
 a, a,1
 c, o,1
 e, e,0.548
 s, s,0.776
 m, m,1
 b, b,1
 r, r,0.992
 a, a,0.997
 c, c,1
 e, m,0.994
 s, y,0.55
 m, n,0.989
 b, b,0.994
 r, r,0.961
 a, a,1
 c, e,0.963
 e, e,0.997
 s, s,0.978
 m, m,1
 b, u,0.981
 r, r,0.624
 a, z,0.997
 c, c,0.999
 e, m,0.632
 s, s,0.988
 m, m,1
 b, u,0.577
 r, f,0.499
 a, m,0.755
 c, c,0.997
 e, z,0.942
 s, a,0.922
 m, m,1
 b, b,0.999
 r, r,0.84
 a, a,0.926
 c, c,1
 e, m,1
 s, a,0.639
 m, m,1
 b, b,1
 r, r,1
 a, a,0.999
 c, c,0.997
 e, p,0.87
 s, s,1
 m, m,1
 b, b,1
 r, r,0.891
 a, m,0.98
 c, c,0.962
 e, e,1
 s, g,0.988
 m, n,1
 b, b,0.975
 r, r,1
 a, u,0.983
 c, r,0.959
 e, f,0.727
 s, g,0.993
 m, m,0.988
 b, b,1
 r, y,0.908
 a, u,0.509
 c, c,1
 e, p,0.835
 s, g,0.858
 m, m,1
 b, z,0.959
 r, r,0.986
 a, a,1
 c, c,0.988
 e, a,0.998
 s, a,0.715
 m, m,1
 b, b,1
 r, r,1
 a, m,0.997
 c, c,1
 e, z,0.685
 s, b,0.996
 m, m,1
 b, b,1
 r, r,0.584
 a, o,1
 c, c,1
 e, p,0.998
 s, g,0.778
 m, m,1
 b, b,1
 r, r,0.998
 a, a,1
 c, u,0.999
 e, e,1
 s, g,0.856
 m, m,1
 b, b,1
 r, r,0.999
 a, a,1
 c, c,1
 e, e,1
 s, b,0.54
 m, m,1
 b, b,1
 r, r,0.929
 a, a,1
 c, c,0.999
 e, e,0.566
 s, s,0.935
 m, m,1
 b, b,1
 r, r,0.919
 a, a,1
 c, c,1
 e, e,1
 s, s,1
 m, m,1
 b, b,1
 r, r,1
 a, a,1
 c, c,1
 e, a,0.859
 s, s,1
 m, m,1
 b, f,0.926
 r, r,0.435
 a, n,0.982
 c, e,0.954
 e, a,0.923
 s, g,0.72
 m, n,0.986
 b, x,0.968
 r, a,0.896
 a, a,0.982
 c, m,0.485
 e, a,0.842
 s, q,0.789
 m, m,1
 b, b,0.92
 r, r,0.995
 a, a,0.996
 c, c,1
 e, e,0.932
 s, s,1
 m, m,1
 b, w,0.66
 r, r,0.994
 a, a,0.731
 c, m,0.731
 e, m,0.772
 s, a,0.635
 o, o,1
 l, l,0.999
 c, a,0.819
 a, a,0.868
 n, n,0.57
 i, i,0.992
 c, a,0.99
 o, o,0.995
 l, l,0.998
 c, c,1
 a, a,0.999
 n, m,0.99
 i, i,0.975
 c, a,0.542
 o, o,1
 l, l,1
 c, c,0.939
 a, m,0.692
 n, n,1
 i, l,0.992
 c, c,0.995
 o, g,1
 l, t,0.596
 c, c,1
 a, a,0.999
 n, m,0.886
 i, i,0.999
 c, c,0.994
 o, o,1
 l, l,0.996
 c, c,1
 a, a,1
 n, z,0.91
 i, i,0.991
 c, c,0.959
 o, o,1
 l, l,0.991
 c, a,0.904
 a, m,0.997
 n, n,1
 i, i,1
 c, a,0.991
 o, o,1
 l, l,1
 c, c,1
 a, a,1
 n, n,0.975
 i, i,0.995
 c, c,1
 o, g,0.998
 l, l,1
 c, c,1
 a, o,0.999
 n, n,0.568
 i, j,1
 c, c,1
 o, o,1
 l, l,1
 c, c,1
 a, g,0.999
 n, n,1
 i, i,1
 c, c,1
 o, o,1
 l, l,1
 c, a,1
 a, a,1
 n, u,0.889
 i, l,1
 c, a,0.788
 o, o,1
 l, l,0.852
 c, e,0.987
 a, a,0.999
 n, n,0.998
 i, r,0.844
 c, a,0.561
 o, g,0.99
 l, l,0.761
 c, c,1
 a, a,1
 n, n,1
 i, i,0.828
 c, a,0.813
 o, o,1
 l, l,1
 c, r,0.999
 a, a,0.783
 n, n,1
 i, b,0.999
 c, c,0.998
 o, o,1
 l, l,1
 c, c,0.988
 a, a,0.998
 n, n,0.996
 i, i,0.944
 c, a,0.898
 o, o,0.6
 l, l,0.761
 c, c,0.999
 a, a,0.992
 n, n,1
 i, i,0.652
 c, c,1
 o, a,0.984
 l, l,0.789
 c, c,1
 a, m,0.604
 n, m,0.984
 i, y,0.66
 c, m,0.951
 o, o,1
 l, l,0.996
 c, c,0.999
 a, a,1
 n, n,1
 i, i,0.998
 c, m,0.636
 o, o,1
 l, l,0.998
 c, a,0.521
 a, a,1
 n, n,1
 i, i,0.999
 c, c,0.995
 o, o,1
 l, l,1
 c, c,0.996
 a, p,0.709
 n, n,1
 i, l,1
 c, u,0.375
 o, o,1
 l, l,0.958
 c, o,0.997
 a, a,1
 n, z,0.821
 i, i,0.966
 c, c,1
 o, o,1
 l, l,1
 c, c,0.527
 a, b,0.997
 n, n,0.995
 i, i,0.999
 c, c,1
 o, o,1
 l, l,1
 c, c,1
 a, a,0.994
 n, n,1
 i, j,0.584
 c, e,0.709
 o, g,0.739
 l, l,1
 c, f,0.989
 a, k,0.987
 n, n,0.998
 i, i,0.992
 c, c,1
 o, o,1
 l, l,1
 c, c,1
 a, a,0.998
 n, n,1
 i, l,0.999
 c, c,0.987
 o, o,1
 l, h,0.958
 c, c,0.554
 a, m,0.976
 n, n,0.587
 i, h,0.999
 c, u,0.552
 o, g,0.881
 l, l,1
 c, a,0.906
 a, a,0.983
 n, n,1
 i, i,0.999
 c, c,0.986
 o, o,1
 l, l,0.997
 c, c,0.999
 a, m,0.87
 n, m,1
 i, i,0.859
 c, c,1
 o, n,0.489
 l, l,1
 c, c,1
 a, c,0.518
 n, u,0.589
 i, i,0.987
 c, a,0.654
 o, o,1
 l, l,0.988
 c, a,0.625
 a, a,0.99
 n, m,1
 i, b,1
 c, a,0.995
 o, o,1
 l, l,0.999
 c, c,1
 a, m,0.892
 n, m,0.521
 i, i,1
 c, a,0.973
 o, o,1
 l, l,0.993
 c, c,1
 a, a,0.991
 n, n,0.954
 i, i,0.999
 c, c,1
 o, o,1
 l, l,0.991
 c, e,0.949
 a, o,1
 n, a,0.941
 i, i,0.793
 c, e,1
 o, g,1
 l, l,1
 c, c,1
 a, g,0.992
 n, o,1
 i, i,0.996
 c, c,0.88
 o, o,1
 l, l,0.982
 c, f,0.997
 a, a,0.671
 n, m,0.711
 i, i,0.998
 c, a,0.994
 o, o,1
 l, l,0.882
 c, a,0.997
 a, a,1
 n, m,0.992
 i, i,0.997
 c, m,0.993
 o, o,0.962
 l, l,1
 c, c,1
 a, a,1
 n, a,0.999
 i, i,1
 c, c,0.911
 o, a,0.965
 l, l,0.928
 c, c,0.978
 a, m,0.998
 n, n,0.8
 i, i,1
 c, c,1
 o, e,0.934
 l, l,0.999
 c, c,0.999
 a, a,0.988
 n, n,0.998
 i, i,1
 c, e,0.735
 o, a,0.735
 l, u,0.872
 c, a,0.923
 a, n,0.999
 n, w,0.962
 i, i,0.997
 c, m,0.51
 o, o,1
 l, l,1
 c, c,1
 a, a,1
 n, n,1
 i, i,0.532
 c, c,0.995
 o, o,1
 l, l,0.998
 c, c,1
 a, a,1
 n, o,0.972
 i, i,1
 c, c,1
 o, o,1
 l, l,0.999
 c, c,1
 a, a,1
 n, n,0.999
 i, i,0.829
 c, c,0.973
 o, o,0.738
 l, b,0.584
 c, b,0.967
 a, a,0.646
 n, u,0.607
 i, l,0.999
 c, c,1
 o, d,1
 l, l,0.882
 c, r,0.719
 a, a,1
 n, n,0.82
 i, i,0.985
 c, r,0.861
 o, a,0.714
 l, l,1
 c, e,0.931
 a, a,0.995
 n, n,1
 i, i,0.999
 c, c,0.929
 o, e,0.899
 l, l,1
 c, p,1
 a, q,0.729
 n, n,1
 i, i,0.911
 c, c,1
 o, g,1
 l, l,1
 c, c,1
 a, a,1
 n, n,0.998
 i, i,0.992
 c, a,0.981
 o, o,1
 l, l,0.969
 c, c,1
 a, a,1
 n, m,0.666
 i, i,0.933
 c, a,0.614
 o, o,1
 l, l,1
 c, p,0.694
 a, a,1
 n, n,1
 i, i,0.82
 c, c,0.991
 o, d,0.999
 l, y,0.849
 c, e,0.998
 a, z,0.468
 n, d,0.927
 i, y,0.59
 c, o,1
 o, m,0.997
 l, l,0.884
 c, a,0.849
 a, m,1
 n, m,0.976
 i, r,0.905
 c, m,0.943
 o, o,0.997
 l, l,1
 c, c,0.998
 a, a,0.992
 n, n,0.909
 i, i,0.996
 c, c,0.998
 o, o,1
 l, l,1
 c, c,0.996
 a, a,1
 n, n,0.99
 i, i,0.999
 c, e,0.504
 o, g,0.861
 l, l,1
 c, c,1
 a, e,0.753
 n, a,0.81
 i, i,0.951
 c, c,0.548
 o, o,1
 l, l,1
 c, c,1
 a, a,0.999
 n, m,0.633
 i, i,0.89
 c, c,0.978
 o, o,1
 l, l,0.986
 c, c,0.984
 a, m,0.984
 n, m,0.608
 i, i,0.982
 c, c,0.608
 o, q,0.583
 l, l,0.997
 c, b,0.999
 a, k,0.998
 n, n,1
 i, l,1
 c, u,0.99
 o, o,0.873
 l, k,0.921
 c, a,0.994
 a, m,0.999
 n, x,0.529
 i, i,0.994
 c, m,0.999
 o, o,1
 l, l,0.996
 c, a,0.687
 a, a,0.602
 n, m,0.993
 i, i,0.957
 c, a,0.929
 o, o,1
 l, l,1
 c, c,0.948
 a, a,1
 n, n,1
 i, i,0.999
 c, c,1
 o, o,1
 l, l,0.789
 c, c,1
 a, a,0.955
 n, w,0.925
 i, r,0.983
 c, c,1
 o, o,1
 l, l,0.898
 c, c,1
 a, a,1
 n, o,1
 i, i,0.899
 c, c,1
 o, o,1
 l, l,1
 c, c,1
 a, e,0.897
 n, o,0.548
 i, i,0.976
 c, c,0.988
 o, o,1
 l, l,1
 c, c,0.991
 a, a,0.991
 n, q,0.985
 i, i,0.942
 c, c,1
 o, o,1
 l, b,0.857
 c, c,1
 a, n,1
 n, a,0.617
 i, l,0.873
 c, c,0.998
 o, g,0.999
 l, p,0.962
 c, p,0.898
 a, o,0.848
 n, a,1
 i, i,0.989
 c, c,0.999
 o, o,1
 l, l,0.469
 c, a,0.967
 a, a,0.998
 n, n,0.991
 i, i,1
 c, c,0.959
 o, o,1
 l, l,0.789
 c, c,0.982
 a, a,1
 n, n,0.995
 i, i,0.999
 c, c,0.999
 o, o,1
 l, l,0.996
 c, o,0.991
 a, a,1
 n, n,0.923
 i, i,0.944
 c, a,0.557
 o, o,0.962
 l, l,1
 c, c,0.999
 a, m,0.98
 n, n,0.78
 i, i,0.999
 c, m,0.991
 o, o,1
 l, l,1
 c, f,0.985
 a, a,1
 n, n,1
 i, i,1
 c, c,1
 o, o,1
 l, l,0.988
 c, c,0.998
 a, a,1
 n, w,1
 i, i,0.999
 c, u,0.617
 o, o,1
 l, l,0.999
 c, c,1
 a, z,0.924
 n, n,1
 i, l,0.909
 c, c,1
 o, g,0.68
 l, l,1
 c, c,1
 a, a,0.989
 n, n,1
 i, r,0.974
 c, c,1
 o, o,1
 l, l,1
 c, p,0.661
 a, k,0.752
 n, o,1
 i, j,0.957
 c, c,0.712
 o, o,1
 l, l,0.99
 c, a,0.997
 a, a,0.971
 n, m,0.996
 i, i,0.793
 c, a,0.925
 o, o,0.983
 l, l,1
 c, e,0.999
 a, a,1
 n, m,0.752
 i, i,0.999
 c, c,0.998
 o, o,1
 l, l,0.921
 c, c,0.989
 a, a,1
 n, n,1
 i, i,0.722
 c, c,0.995
 o, a,1
 l, y,0.996
 c, r,0.484
 a, a,0.974
 n, n,0.591
 i, r,0.998
 c, a,0.836
 o, g,0.864
 l, l,0.982
 c, c,1
 a, d,1
 n, n,1
 i, i,1
 c, c,1
 o, o,1
 l, l,1
 c, c,0.998
 a, a,1
 n, a,0.614
 i, l,0.627
 c, c,0.998
 o, o,1
 l, l,1
 c, c,1
 a, a,1
 n, m,0.74
 i, i,0.817
 c, c,1
 o, o,0.902
 l, l,0.986
 c, e,0.829
 a, a,0.999
 n, o,0.953
 i, f,0.749
 c, c,0.879
 o, g,1
 l, l,0.789
 c, f,0.987
 a, d,1
 n, n,0.999
 i, i,0.888
 c, a,0.766
 o, a,0.872
 l, r,0.999
 c, c,0.879
 a, a,0.727
 n, m,0.998
 i, i,0.947
 c, a,0.986
 o, o,1
 l, l,0.982
 c, c,1
 a, a,1
 n, n,0.969
 i, l,0.642
 c, c,1
 o, o,0.976
 l, l,1
 c, c,0.736
 a, z,1
 n, g,0.713
 i, i,0.833
 c, c,0.822
 o, o,1
 l, l,0.999
 c, c,1
 a, m,1
 n, m,0.947
 i, i,1
 c, c,0.999
 o, o,1
 l, l,0.987
 c, c,0.998
 a, o,0.864
 n, n,1
 i, i,0.963
 c, c,1
 o, o,1
 l, u,0.996
 c, u,0.846
 a, a,0.97
 n, u,0.804
 i, a,0.995
 c, a,0.926
 o, o,0.998
 l, l,0.999
 c, c,0.915
 a, m,0.919
 n, m,0.895
 i, i,0.964
 c, c,0.699
 o, o,0.997
 l, l,0.992
 c, c,0.949
 a, a,1
 n, n,1
 i, i,1
 c, w,0.901
 o, o,1
 l, l,1
 c, c,0.535
 a, a,0.94
 n, n,0.897
 i, i,0.985
 c, c,0.943
 o, o,1
 l, l,1
 c, c,1
 a, o,1
 n, n,1
 i, i,0.87
 c, c,1
 o, o,1
 l, l,0.999
 c, c,1
 a, a,1
 n, o,0.653
 i, i,0.974
 c, c,0.999
 o, d,0.998
 l, y,0.957
 c, c,0.863
 a, d,0.998
 n, n,1
 i, i,0.993
 c, a,0.973
 o, o,1
 l, l,0.999
 c, c,1
 a, a,0.84
 n, n,0.843
 i, i,1
 c, a,0.993
 o, o,1
 l, l,1
 c, e,0.599
 a, m,0.769
 n, n,1
 i, l,0.985
 c, a,0.892
 o, g,0.991
 l, i,0.935
 c, c,1
 a, n,0.973
 n, w,1
 i, h,0.656
 c, c,0.998
 o, g,1
 l, l,1
 c, p,0.987
 a, a,1
 n, n,1
 i, i,0.989
 c, c,0.992
 o, a,1
 l, l,0.82
 c, a,0.981
 a, a,1
 n, n,0.914
 i, i,0.999
 c, c,0.664
 o, o,0.994
 l, l,0.956
 c, c,1
 a, e,0.574
 n, n,1
 i, i,0.998
 c, c,0.999
 o, g,0.902
 l, l,0.975
 c, c,0.922
 a, a,1
 n, n,0.988
 i, l,0.775
 c, c,1
 o, o,1
 l, l,1
 c, c,1
 a, a,0.999
 n, m,0.968
 i, l,1
 c, c,1
 o, o,1
 l, c,1
 c, c,1
 a, n,0.477
 n, n,0.785
 i, l,0.998
 c, c,0.904
 o, d,1
 l, l,0.996
 c, c,1
 a, a,1
 n, n,1
 i, i,0.998
 c, c,0.628
 o, o,1
 l, l,0.999
 c, c,0.532
 a, a,0.98
 n, m,0.779
 i, i,0.865
 c, c,1
 o, a,0.993
 l, l,0.958
 c, c,1
 a, a,1
 n, n,0.998
 i, i,0.999
 c, c,1
 o, o,1
 l, i,0.515
 c, a,0.943
 a, a,0.999
 n, n,1
 i, j,0.887
 c, c,0.991
 o, o,1
 l, l,0.979
 c, c,1
 a, m,0.999
 n, n,0.797
 i, i,0.997
 c, c,1
 o, o,1
 l, l,0.999
 c, c,1
 a, a,0.981
 n, n,1
 i, j,0.547
 c, c,0.995
 o, o,1
 l, l,0.997
 c, c,0.998
 a, a,1
 n, n,0.997
 i, i,0.995
 c, c,0.968
 o, o,1
 l, c,1
 c, c,1
 a, a,0.989
 n, n,0.995
 i, l,1
 c, e,1
 o, o,1
 l, l,1
 c, a,0.609
 a, a,1
 n, n,0.997
 i, i,0.999
 c, a,0.853
 o, o,1
 l, l,1
 c, c,0.984
 a, a,1
 n, o,0.619
 i, i,0.977
 c, a,0.999
 o, a,0.724
 l, l,0.994
 c, e,0.984
 a, z,0.833
 n, m,0.945
 i, i,0.999
 c, z,0.596
 o, o,1
 l, l,1
 c, c,0.991
 a, a,0.897
 n, n,1
 i, l,0.993
 c, c,1
 o, o,1
 l, l,0.996
 c, a,0.711
 a, a,0.98
 n, m,0.978
 i, i,1
 c, c,0.664
 o, o,1
 l, l,1
 c, c,1
 a, a,1
 n, m,0.656
 i, l,0.97
 c, c,1
 o, o,1
 l, l,0.998
 c, c,1
 a, a,1
 n, n,0.999
 i, i,0.998
 c, c,0.999
 o, o,1
 l, y,0.981
 c, c,0.943
 a, a,0.806
 n, n,0.808
 i, i,0.813
 c, c,1
 o, o,1
 l, l,1
 c, c,1
 a, a,0.999
 n, m,0.722
 i, i,0.999
 c, c,1
 o, o,1
 l, l,1
 c, c,0.999
 a, a,1
 n, n,1
 i, i,0.999
 c, a,0.716
 o, o,1
 l, l,1
 c, c,1
 a, a,1
 n, n,1
 i, i,0.998
 c, c,0.996
 o, o,0.977
 l, i,0.935
 c, c,0.583
 a, a,1
 n, n,1
 i, l,0.921
 c, a,1
 o, o,1
 l, l,0.999
 c, o,0.983
 a, a,0.982
 n, m,0.998
 i, j,0.989
 c, a,0.976
 o, o,1
 l, l,0.819
 c, c,1
 a, a,1
 n, n,1
 i, l,0.994
 c, c,0.999
 o, m,0.924
 l, k,0.926
 c, c,0.757
 a, z,0.899
 n, n,1
 i, l,0.927
 c, a,0.903
 o, o,0.95
 l, l,1
 c, c,1
 a, d,0.833
 n, n,0.892
 i, i,0.998
 c, c,0.999
 o, o,1
 l, l,0.998
 c, c,0.987
 a, a,1
 n, n,1
 i, l,0.999
 c, c,0.621
 o, g,1
 l, l,0.999
 c, c,1
 a, a,0.29
 n, k,0.574
 i, f,0.767
 c, e,1
 o, o,1
 l, l,0.999
 c, c,0.855
 a, m,0.982
 n, n,0.917
 i, j,0.999
 c, c,1
 o, o,1
 l, l,0.734
 c, c,0.408
 a, a,0.973
 n, n,0.591
 i, i,0.879
 c, c,0.926
 o, g,1
 l, l,0.789
 c, c,0.984
 a, g,0.974
 n, v,0.801
 i, i,0.999
 c, h,0.662
 o, o,1
 l, l,0.952
 c, e,0.996
 a, m,0.711
 n, n,0.997
 i, l,0.883
 c, c,0.996
 o, o,1
 l, l,0.943
 c, c,1
 a, m,0.982
 n, m,0.999
 i, l,0.896
 c, c,0.728
 o, o,1
 l, l,0.999
 c, p,0.996
 a, a,0.997
 n, n,0.966
 i, i,0.999
 c, c,1
 o, o,0.54
 l, l,0.992
 c, c,0.998
 a, a,0.985
 n, n,1
 i, l,0.976
 c, c,0.998
 o, o,1
 l, l,1
 c, b,0.93
 a, a,0.989
 n, n,0.984
 i, l,0.863
 c, c,0.961
 o, o,1
 l, l,0.996
 c, g,0.993
 a, a,1
 n, n,1
 i, i,0.86
 c, e,0.992
 o, o,1
 l, l,0.985
 c, c,0.969
 a, a,1
 n, n,0.949
 i, l,0.944
 c, c,0.999
 o, o,0.995
 l, u,0.999
 c, c,0.994
 a, z,0.521
 n, n,0.791
 i, l,1
 c, a,0.954
 o, o,1
 l, l,0.984
 c, c,1
 a, a,0.996
 n, n,0.999
 i, i,0.998
 c, c,1
 o, a,0.962
 l, l,0.789
 c, a,0.965
 a, m,0.991
 n, m,1
 i, r,1
 c, a,0.763
 n, a,0.897
 c, r,0.952
 o, o,1
 m, m,1
 f, f,0.999
 o, o,1
 r, c,0.882
 t, t,0.999
 a, a,0.993
 b, b,1
 l, l,0.996
 y, y,0.987
 n, n,0.928
 c, a,0.966
 o, a,0.999
 m, n,0.658
 f, f,0.882
 o, o,0.914
 r, r,1
 t, t,0.997
 a, m,1
 b, b,0.983
 l, l,1
 y, g,0.999
 n, a,0.993
 c, e,0.766
 o, o,1
 m, m,1
 f, y,0.998
 o, o,1
 r, r,0.843
 t, r,0.998
 a, a,1
 b, d,0.999
 l, y,0.993
 y, u,0.36
 n, m,0.952
 c, a,0.863
 o, o,0.997
 m, m,1
 f, z,0.646
 o, m,0.825
 r, q,0.949
 t, m,0.952
 a, a,0.51
 b, u,0.598
 l, l,0.999
 y, s,0.992
 n, n,0.992
 c, f,1
 o, o,1
 m, m,1
 f, t,0.849
 o, o,1
 r, p,0.536
 t, t,1
 a, a,0.999
 b, b,0.999
 l, l,1
 y, u,0.602
 n, n,1
 c, c,1
 o, o,1
 m, m,1
 f, f,0.861
 o, o,1
 r, r,0.993
 t, t,1
 a, d,1
 b, b,1
 l, l,1
 y, g,0.676
 n, n,0.925
 c, o,0.807
 o, o,1
 m, m,1
 f, f,1
 o, o,1
 r, y,0.428
 t, t,1
 a, m,0.612
 b, b,0.997
 l, l,0.996
 y, y,1
 n, n,1
 c, c,1
 o, o,1
 m, m,1
 f, y,0.571
 o, o,0.969
 r, r,0.711
 t, u,0.791
 a, a,1
 b, b,1
 l, l,0.988
 y, r,0.833
 n, n,0.619
 c, c,0.969
 o, o,1
 m, m,1
 f, r,0.999
 o, o,1
 r, r,1
 t, f,0.688
 a, a,0.999
 b, b,0.999
 l, l,0.982
 y, y,0.871
 n, v,0.809
 c, c,0.999
 o, o,1
 m, m,0.995
 f, f,0.933
 o, o,1
 r, z,0.595
 t, t,0.993
 a, a,1
 b, b,1
 l, l,0.999
 y, x,0.533
 n, n,1
 c, c,1
 o, o,1
 m, m,1
 f, p,0.955
 o, o,1
 r, r,0.919
 t, l,0.998
 a, g,1
 b, b,1
 l, l,0.999
 y, l,1
 n, x,0.512
 c, c,1
 o, o,1
 m, m,1
 f, t,0.927
 o, o,1
 r, r,1
 t, l,0.99
 a, a,0.999
 b, b,1
 l, l,0.998
 y, y,0.744
 n, n,1
 c, l,0.878
 o, g,0.861
 m, m,1
 f, f,0.906
 o, o,1
 r, d,0.73
 t, l,0.819
 a, e,0.791
 b, h,0.983
 l, l,1
 y, y,0.995
 n, n,0.927
 c, c,1
 o, o,1
 m, m,1
 f, g,0.985
 o, o,1
 r, r,0.889
 t, t,1
 a, a,1
 b, u,0.921
 l, l,1
 y, g,1
 n, m,0.975
 c, a,0.527
 o, o,1
 m, m,1
 f, q,1
 o, o,1
 r, c,0.971
 t, a,0.47
 a, a,0.6
 b, u,0.547
 l, h,0.964
 y, g,0.906
 n, m,0.972
 c, h,0.555
 o, o,1
 m, m,1
 f, f,0.996
 o, o,0.997
 r, c,0.909
 t, t,0.955
 a, a,0.981
 b, b,0.972
 l, l,1
 y, v,0.622
 n, m,0.997
 c, c,0.981
 o, o,0.999
 m, m,1
 f, f,0.99
 o, w,0.403
 r, m,0.972
 t, p,0.812
 a, w,0.65
 b, c,0.563
 l, l,0.796
 y, t,0.596
 n, m,0.999
 c, c,0.873
 o, o,1
 m, m,0.695
 f, t,0.984
 o, o,1
 r, r,0.935
 t, t,0.779
 a, m,0.971
 b, q,0.616
 l, q,0.945
 y, q,0.979
 n, n,1
 c, c,1
 o, o,1
 m, m,1
 f, f,0.984
 o, o,1
 r, r,0.975
 t, t,1
 a, a,0.866
 b, b,0.996
 l, r,0.985
 y, y,0.999
 n, g,1
 c, c,1
 o, z,0.912
 m, e,0.992
 f, t,0.723
 o, o,1
 r, l,0.599
 t, d,0.878
 a, a,0.994
 b, b,1
 l, l,1
 y, y,1
 n, n,0.999
 c, c,0.99
 o, o,1
 m, m,0.999
 f, p,0.956
 o, o,0.998
 r, t,0.818
 t, t,1
 a, m,0.777
 b, b,0.998
 l, l,0.997
 y, y,1
 n, n,0.939
 c, c,1
 o, o,1
 m, m,1
 f, f,1
 o, o,1
 r, r,0.726
 t, k,0.482
 a, a,1
 b, h,0.871
 l, l,0.995
 y, y,0.651
 n, a,1
 c, c,0.999
 o, o,1
 m, m,1
 f, z,0.713
 o, g,0.958
 r, r,0.773
 t, g,0.885
 a, a,1
 b, b,1
 l, t,0.905
 y, g,0.996
 n, n,1
 c, f,0.999
 o, o,1
 m, m,0.995
 f, l,0.714
 o, g,1
 r, r,1
 t, p,0.977
 a, a,1
 b, b,1
 l, l,0.998
 y, y,1
 n, n,0.619
 c, c,0.999
 o, o,1
 m, m,1
 f, t,0.504
 o, o,1
 r, r,0.916
 t, t,0.989
 a, m,0.825
 b, b,0.916
 l, b,0.426
 y, d,1
 n, n,1
 c, g,0.997
 o, o,0.998
 m, m,1
 f, f,0.943
 o, d,1
 r, f,0.543
 t, t,0.971
 a, d,1
 b, i,0.675
 l, l,0.956
 y, g,1
 n, n,0.996
 c, c,1
 o, o,1
 m, m,1
 f, p,0.973
 o, o,1
 r, r,1
 t, t,1
 a, k,0.528
 b, b,1
 l, l,0.789
 y, g,0.992
 n, n,0.943
 c, r,0.981
 o, o,1
 m, m,1
 f, f,0.954
 o, o,1
 r, r,0.926
 t, t,0.983
 a, a,0.997
 b, d,0.667
 l, l,0.992
 y, x,0.999
 n, o,0.939
 c, c,0.732
 o, o,0.72
 m, m,1
 f, f,0.972
 o, o,1
 r, r,0.869
 t, t,0.999
 a, n,0.996
 b, l,0.857
 l, l,0.92
 y, x,0.601
 n, n,1
 c, b,0.98
 o, e,0.541
 m, m,1
 f, f,0.825
 o, o,1
 r, v,0.766
 t, t,0.999
 a, a,0.994
 b, b,1
 l, l,0.999
